timestamp,event_type,token,raw_log_line
"2026-09-07 17:55:43,487",HONEYPOT_CHECK,,"2026-09-07 17:55:43,487 INFO   HONEYPOT CHECK: V4 transfer sim inconclusive: ('0xf4d678b8', '0xf4d678b8') — proceeding (roundtrip 81.0% OK)"
"2026-09-07 17:55:43,487",HONEYPOT_CHECK,,"2026-09-07 17:55:43,487 INFO   HONEYPOT CHECK: V4 roundtrip OK (81.0%) + transfer OK — SAFE"
"2026-09-07 17:55:43,487",BUY_ATTEMPT,BIDEN,"2026-09-07 17:55:43,487 INFO V4 BUY BIDEN with 106.783857 USDG (~$106.78) fee=99000 tick=990"
"2026-09-07 17:55:44,240",TX_DETAIL,,"2026-09-07 17:55:44,240 INFO   V4 amountOutMin: 292886 tokens (2% tolerance)"
"2026-09-07 17:55:47,592",BUY_REVERTED,BIDEN,"2026-09-07 17:55:47,592 ERROR V4 BUY BIDEN REVERTED"
"2026-09-07 17:55:47,592",SCAN_IDLE,,"2026-09-07 17:55:47,592 INFO Waiting for a pump... (scanning every 5s)"
"2026-09-07 17:55:52,672",SKIP,,"2026-09-07 17:55:52,672 INFO SKIP Gun — pump already ripped too hard (5m=+85.4% > +80% cap)"
"2026-09-07 17:55:52,672",SCAN,,"2026-09-07 17:55:52,672 INFO Pumping candidates: 1"
"2026-09-07 17:55:52,672",PICK,BIDEN,"2026-09-07 17:55:52,672 INFO PICK (cached): BIDEN 5m=+22.9% route=v4usdg_99000_990"
"2026-09-07 17:55:52,672",OTHER,,"2026-09-07 17:55:52,672 INFO ⏱ PRE-ENTRY: Studying BIDEN momentum... (3 readings, 6s)"
"2026-09-07 17:55:55,688",MOMENTUM_READING,,"2026-09-07 17:55:55,688 INFO   Reading 2: 5m=+22.8% B/S=1258/1286 (0.98)"
"2026-09-07 17:55:58,708",MOMENTUM_READING,,"2026-09-07 17:55:58,708 INFO   Reading 3: 5m=+22.8% B/S=1258/1286 (0.98)"
"2026-09-07 17:55:58,708",MOMENTUM_VERIFIED,,"2026-09-07 17:55:58,708 INFO   ✅ Momentum VERIFIED: 22.9→22.8→22.8 — ENTERING"
"2026-09-07 17:56:01,751",HONEYPOT_CHECK,,"2026-09-07 17:56:01,751 INFO   HONEYPOT CHECK: V4 transfer sim inconclusive: ('0xf4d678b8', '0xf4d678b8') — proceeding (roundtrip 79.0% OK)"
"2026-09-07 17:56:01,751",HONEYPOT_CHECK,,"2026-09-07 17:56:01,751 INFO   HONEYPOT CHECK: V4 roundtrip OK (79.0%) + transfer OK — SAFE"
"2026-09-07 17:56:01,751",BUY_ATTEMPT,BIDEN,"2026-09-07 17:56:01,751 INFO V4 BUY BIDEN with 106.783857 USDG (~$106.78) fee=99000 tick=990"
"2026-09-07 17:56:02,519",TX_DETAIL,,"2026-09-07 17:56:02,519 INFO   V4 amountOutMin: 293132 tokens (2% tolerance)"
